Estimate,Std,Parameter,Model
-1.5506749728296283,0.0767652394718633,(Intercept),Pr(C0)
-0.4317574997498513,0.144120880019395,d15TRUE,Pr(C0)
-0.7100519240887808,0.1152482122554314,d30TRUE,Pr(C0)
-8.022219381822289,3.295401943291855,"poly(Age, 2)1",Pr(C0)
-8.113783323752742,3.6515846234094584,"poly(Age, 2)2",Pr(C0)
2.3195918434732254,0.11163431692864544,(Intercept),Pr(C1|~C0)
-0.7623554353414884,0.10970471027919247,d15TRUE,Pr(C1|~C0)
-0.5589315204831405,0.12063625923770609,d30TRUE,Pr(C1|~C0)
0.7265453385532642,0.013807512315213027,(Intercept),C1
0.03572866159501161,0.035544638775211725,(Intercept),C2
