study,Age,QL00_A,QL00_M,QL00_L,QL00_U,QL15_A,QL15_M,QL15_L,QL15_U,QL35_A,QL35_M,QL35_L,QL35_U
Drolet et al. 2010,50,0.045383973498780233,0.045290689599965586,0.041092464437150686,0.05022616509710902,0.04520146454039167,0.04510768115822508,0.04094427770301981,0.050001359887758945,0.04496075541494933,0.04487411390849559,0.040748619458300085,0.04970521474254023
Drolet et al. 2010,51,0.045597348153316064,0.045559540205892333,0.041379924846785196,0.050281153105770214,0.04541294800039312,0.0453779627779909,0.04122536219427696,0.05005584067861237,0.045169757652841445,0.04513571130618735,0.04102355101991013,0.04977228335860052
Drolet et al. 2010,52,0.04590830567692873,0.045865148268760064,0.04176385580794793,0.050589120679296364,0.04572154374970749,0.045678901679186056,0.04160321691960685,0.050364399888189755,0.04547525211773514,0.045429833001900746,0.041391291725551484,0.050068223103977336
Drolet et al. 2010,53,0.04629305325432364,0.046248732957965305,0.042289712642084906,0.0508709502582703,0.04610356246967181,0.046053736868098646,0.04213571321015079,0.05064901937419489,0.04585368605814762,0.045803354069311755,0.04193039178925462,0.05035651513027517
Drolet et al. 2010,54,0.04672729963503112,0.046662297223019414,0.04277043304251119,0.051307005215282225,0.04653482089891615,0.04646690067393491,0.04260219214204179,0.051073544286256,0.04628101867539289,0.04622024113030633,0.04238025260705128,0.05078889600401187
Drolet et al. 2010,55,0.04718624676815337,0.0471131515877129,0.04325984032635237,0.051723045273806764,0.04699063362055756,0.046916054375002014,0.04308816276661514,0.05149732612873841,0.046732713109212315,0.04665441186037313,0.042861738244550196,0.051196876571176296
Drolet et al. 2010,56,0.04764458130987177,0.04756387411838296,0.04378571718748441,0.05219194192972673,0.047445804726775,0.04736636795621034,0.043618238156965174,0.05195630374586112,0.047183728306727735,0.047102885573533926,0.04338670385750653,0.05164589806139124
Drolet et al. 2010,57,0.04807646600187364,0.04799980693571704,0.04425325801664854,0.052441928439792916,0.04787461935905768,0.04780176507684681,0.04408265801067424,0.0522100395175315,0.047608510773178236,0.04753867184981749,0.043857559144185876,0.051906365924025755
Drolet et al. 2010,58,0.048455530918825596,0.04837893421728018,0.04463482081492537,0.052722399436636765,0.04825083512239144,0.048179723776497416,0.044454138256565294,0.05249077589662149,0.0479809862028783,0.047912361750394164,0.04421582064245069,0.05218601915287286
Drolet et al. 2010,59,0.04875486458300281,0.04866509265135366,0.04486035685948255,0.0529875473403375,0.048547673371633265,0.0484598473847848,0.04467816205275568,0.05275284058102828,0.048274550988825056,0.04818557943620552,0.04443785714412572,0.0524454590540728
Drolet et al. 2010,60,0.04904869314163897,0.04896150531920559,0.04511378314609938,0.0533247279526478,0.048839007659737234,0.048753862881300174,0.04492337751608433,0.053089706107879685,0.048562613905615754,0.048474714339404576,0.04467245209764962,0.05277925446884976
Drolet et al. 2010,61,0.04941836861470508,0.04929073422889535,0.04538240289061743,0.05372836595725829,0.04920579528252272,0.04908060874977279,0.04519528274511596,0.05348565972532451,0.048925612058259384,0.04880678248219593,0.04494854401918079,0.053165847021609
Drolet et al. 2010,62,0.049846990523784517,0.049745520463496326,0.04579629451292689,0.05424018002879445,0.04963121198108477,0.04952527771765933,0.04560618942820308,0.05399398902428138,0.04934682173421712,0.049243725958068446,0.04535553058935,0.05366960096602676
Drolet et al. 2010,63,0.05031729858057769,0.05022482310809209,0.046232126158240995,0.05468713235542058,0.05009807711146804,0.05000468482972124,0.04604543704707747,0.05444877958026724,0.04980916732660383,0.04971839519475141,0.04579924646224227,0.05413465642550783
Drolet et al. 2010,64,0.05081166659281061,0.05073984416809481,0.04667605013035805,0.05521273816495454,0.05058884766887826,0.05051600287543473,0.04647396330879287,0.054947501336199175,0.050295215512156634,0.050226394193695845,0.04622036369006725,0.05459826487184516
Drolet et al. 2010,65,0.05131209627683634,0.05124264528763811,0.0471738394434251,0.055843328375989286,0.05108561222222198,0.05102293421664546,0.04697329552551287,0.055577951455054425,0.050787169344193826,0.05072579068413685,0.04670892459746537,0.05523494471614674
Drolet et al. 2010,66,0.05180021097557655,0.051710252694348605,0.047569707109764076,0.05640713343276726,0.051570084757726974,0.05149166641473009,0.04736710268364538,0.05613810885339793,0.05126686225944974,0.05119033337487025,0.04710003229902427,0.05578385115969228
Drolet et al. 2010,67,0.05225724928043848,0.05219422193501792,0.047974252592983796,0.0569716216176773,0.05202359843038732,0.05195658937689397,0.04777502106266772,0.05670836419422908,0.05171575199766554,0.05164676699691585,0.047512313887838616,0.05636149034299931
Drolet et al. 2010,68,0.052664058555820945,0.05259729413731358,0.04827176132202241,0.05743930741368643,0.052427099221957964,0.052361607155425205,0.04807043586581816,0.057166755039603306,0.052114914432800453,0.05204931199764336,0.04780497936081199,0.05680784082573139
Drolet et al. 2010,69,0.05300108836481164,0.05292757510736501,0.04850051686105005,0.057915187260109864,0.052761139504215036,0.052687289803613355,0.0482974637916425,0.05764313889419189,0.05244503731472293,0.05237079041214765,0.048023083184219315,0.05728492521464353
Drolet et al. 2010,70,0.05324838379466174,0.05320912243561637,0.04864240383462811,0.05832364417381052,0.05300587150618517,0.05297088538967477,0.04843803359175985,0.05804316560558898,0.052686413920231545,0.052654593488763626,0.048168581667242145,0.057673827607777416
Drolet et al. 2010,71,0.053413608062514106,0.05339196682020152,0.048670286035096454,0.058684572959781356,0.05316892640931227,0.05314721368379555,0.048471849609480415,0.05837840264601504,0.05284663313673672,0.05282767379960919,0.04821018420072621,0.0579756496577981
Drolet et al. 2010,72,0.05352444808231293,0.05348458054942368,0.04863989337184182,0.058898046121726236,0.053277855156307855,0.05323138647587524,0.048445195331579205,0.058617055418588956,0.052953066744583575,0.0529020644109415,0.04818842647629348,0.0582470625145494
Drolet et al. 2010,73,0.053590837134479256,0.053559201791719455,0.048593922507229034,0.059077942625906314,0.05334254399851534,0.05331555925809566,0.048390530951667385,0.058775645934858727,0.053015539003845896,0.052994582908783505,0.04812235782654383,0.05838776078149372
Drolet et al. 2010,74,0.05362292484348587,0.0535551022699388,0.04855198373777488,0.05927604752201881,0.053373093331334255,0.05330328472119529,0.04834737514664934,0.05896969776501762,0.053044085437637556,0.05297472456917597,0.04807764766964855,0.058565960768269525
Drolet et al. 2010,75,0.05363108088788869,0.05356724047568887,0.04834219954463955,0.05951937818470018,0.05337982132656682,0.05331479504552433,0.048139335079552245,0.0592087646137181,0.053048956363705456,0.052982369205287344,0.04787186656336461,0.05880018502800377
Drolet et al. 2010,76,0.053625898767582586,0.05351388508809063,0.048191470961520814,0.05974519978307184,0.0533732676195662,0.05326247709678807,0.04798314016377101,0.0594305142905074,0.05304062047772748,0.0529340985325465,0.04770846384109678,0.059016627866522446
Drolet et al. 2010,77,0.05361819962909549,0.05348956589389567,0.048022503240385726,0.059990206846465485,0.05336419705193049,0.05323851584665432,0.04781869582198218,0.059667965150072395,0.05302976848897191,0.052901261508990376,0.04755000846477899,0.05924434034873354
