Cap,Age,Dur,QL00,QL15,QL35
Perfect health,50,122 (112 - 135),0.103 (0.094 - 0.114),0.102 (0.094 - 0.114),0.102 (0.093 - 0.113)
Perfect health,60,136 (128 - 146),0.114 (0.107 - 0.124),0.114 (0.106 - 0.123),0.113 (0.106 - 0.122)
Perfect health,70,153 (142 - 165),0.128 (0.118 - 0.139),0.127 (0.117 - 0.139),0.126 (0.116 - 0.137)
Perfect health,80,172 (154 - 191),0.142 (0.127 - 0.160),0.141 (0.126 - 0.159),0.140 (0.125 - 0.157)
Perfect health,90,192 (164 - 225),0.158 (0.136 - 0.185),0.157 (0.135 - 0.184),0.156 (0.134 - 0.182)
Population norm,50,116 (105 - 126),0.056 (0.051 - 0.062),0.056 (0.051 - 0.062),0.056 (0.051 - 0.062)
Population norm,60,122 (114 - 130),0.052 (0.048 - 0.057),0.052 (0.048 - 0.057),0.052 (0.048 - 0.056)
Population norm,70,128 (119 - 138),0.049 (0.045 - 0.054),0.049 (0.044 - 0.054),0.048 (0.044 - 0.053)
Population norm,80,135 (121 - 151),0.045 (0.040 - 0.051),0.045 (0.040 - 0.051),0.045 (0.040 - 0.051)
Population norm,90,142 (121 - 167),0.044 (0.037 - 0.052),0.044 (0.037 - 0.052),0.043 (0.037 - 0.051)
Pre-HZ baseline,50,90 (81 - 100),0.062 (0.048 - 0.075),0.062 (0.048 - 0.075),0.062 (0.048 - 0.074)
Pre-HZ baseline,60,104 (97 - 114),0.070 (0.055 - 0.084),0.070 (0.055 - 0.084),0.070 (0.055 - 0.083)
Pre-HZ baseline,70,121 (109 - 134),0.078 (0.060 - 0.096),0.077 (0.059 - 0.096),0.077 (0.059 - 0.095)
Pre-HZ baseline,80,141 (121 - 165),0.084 (0.060 - 0.111),0.083 (0.060 - 0.110),0.083 (0.060 - 0.109)
Pre-HZ baseline,90,165 (133 - 205),0.088 (0.056 - 0.124),0.087 (0.055 - 0.123),0.086 (0.055 - 0.122)
